,bank.type,bank.value,website.type,website.value,isin.type,isin.value,viafid.type,viafid.value,bankLabel.xml:lang,bankLabel.type,bankLabel.value,bankDescription.xml:lang,bankDescription.type,bankDescription.value,countryLabel.xml:lang,countryLabel.type,countryLabel.value,gid.type,gid.value,deathyear.datatype,deathyear.type,deathyear.value,bankAltLabel.xml:lang,bankAltLabel.type,bankAltLabel.value,owner.type,owner.value,parent.type,parent.value,permid.type,permid.value,lei.type,lei.value
15,uri,http://www.wikidata.org/entity/Q1576610,uri,http://standardbank.co.za,literal,ZAE000109815,,,en,literal,Standard Bank,en,literal,one of South Africa's largest financial services groups,en,literal,South Africa,,,,,,en,literal,"SB, Standard Bank Group, Standard Bank of South Africa Limited, The Standard Bank of South Africa",,,,,literal,4295889219,,
16,uri,http://www.wikidata.org/entity/Q1576610,uri,http://www.standardbank.com/,literal,ZAE000109815,,,en,literal,Standard Bank,en,literal,one of South Africa's largest financial services groups,en,literal,South Africa,,,,,,en,literal,"SB, Standard Bank Group, Standard Bank of South Africa Limited, The Standard Bank of South Africa",,,,,literal,4295889219,,
17,uri,http://www.wikidata.org/entity/Q806187,uri,https://www.bancointernacional.com.ec,,,,,en,literal,International Bank (Ecuador),en,literal,Ecuadorian banking chain,en,literal,Peru,literal,/g/12z659ndx,,,,,,,,,,,,,,
18,uri,http://www.wikidata.org/entity/Q285328,uri,http://www.commbank.com.au,literal,AU000000CBA7,literal,140880224,en,literal,Commonwealth Bank,en,literal,Australian multinational bank,en,literal,Australia,,,,,,en,literal,"CBA, CommBank, Commonwealth Bank of Australia, COMMONWEALTH BANK OF AUSTRALIA.",,,,,,,,
19,uri,http://www.wikidata.org/entity/Q2423252,uri,http://banco.itau.cl/,,,,,en,literal,Banco Itaú Corpbanca,en,literal,Chilean subsidiary of Brazilian banking institution,en,literal,Chile,,,,,,es,literal,"Itaú, Corpbanca",uri,http://www.wikidata.org/entity/Q1424293,uri,http://www.wikidata.org/entity/Q1424293,,,,
20,uri,http://www.wikidata.org/entity/Q2835558,uri,http://www.interbank.com.pe/,,,,,en,literal,Interbank,en,literal,Peruvian provider of financial services,en,literal,Peru,,,,,,,,,,,,,,,,
21,uri,http://www.wikidata.org/entity/Q714641,uri,http://www.anz.com/,literal,AU000000ANZ3,literal,157469879,en,literal,Australia and New Zealand Banking Group,en,literal,Australian banking group,en,literal,Australia,,,,,,en,literal,"ANZ, AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED",,,,,,,,
22,uri,http://www.wikidata.org/entity/Q2335199,uri,https://www.macro.com.ar/,literal,US05961W1053,,,en,literal,Macro Bank,en,literal,Argentinian private banking company,en,literal,Argentina,,,,,,es,literal,"Banco Bisel, Banco del Tucuman, Banco del Tucumán, Banco Macro Bansud, Banco Suquia, Banco Suquía, Banco Tucuman, Banco Tucumán, Grupo Macro, Nuevo Banco Bisel",,,,,literal,4295856087,,
23,uri,http://www.wikidata.org/entity/Q2882085,uri,http://www.bancochile.cl/,,,literal,158304014,en,literal,Bank of Chile,en,literal,Chilean bank and financial services company,en,literal,Chile,,,,,,en,literal,Banco De Chile,uri,http://www.wikidata.org/entity/Q6095481,,,,,,
24,uri,http://www.wikidata.org/entity/Q1711446,,,,,,,de,literal,Jugoskandik,,,,en,literal,Serbia,literal,/g/121yb5__,,,,de,literal,Yugoskandik,,,,,,,,
25,uri,http://www.wikidata.org/entity/Q1606050,uri,https://www.stgeorge.com.au/,,,,,en,literal,St.George Bank,en,literal,Australian banking institution,en,literal,Australia,,,,,,en,literal,St George Bank,,,uri,http://www.wikidata.org/entity/Q2031726,,,,
26,uri,http://www.wikidata.org/entity/Q2882071,uri,http://www.hipotecario.com.ar/,,,literal,130779725,en,literal,Banco Hipotecario,en,literal,Argentine bank,en,literal,Argentina,,,,,,es,literal,"Banco Hipotecario Nacional, BHN",,,,,,,,
27,uri,http://www.wikidata.org/entity/Q70086594,,,,,,,en,literal,Bank Of Maharashtra Brijish Nagar branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
28,uri,http://www.wikidata.org/entity/Q70086618,,,,,,,en,literal,Bank Of Maharashtra Kalman branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
29,uri,http://www.wikidata.org/entity/Q70086615,,,,,,,en,literal,Bank Of Maharashtra Shemba branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
30,uri,http://www.wikidata.org/entity/Q70086635,,,,,,,en,literal,Bank Of Maharashtra Ambad I.E. Nasik branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
31,uri,http://www.wikidata.org/entity/Q70086628,,,,,,,en,literal,Bank Of Maharashtra Udaipur branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
32,uri,http://www.wikidata.org/entity/Q70086685,,,,,,,en,literal,Bank Of Maharashtra Waraseoni branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
33,uri,http://www.wikidata.org/entity/Q70086711,,,,,,,en,literal,Bank Of Maharashtra Rodia branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
34,uri,http://www.wikidata.org/entity/Q70086728,,,,,,,en,literal,Bank Of Maharashtra Kanher branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
35,uri,http://www.wikidata.org/entity/Q70086763,,,,,,,en,literal,Bank Of Maharashtra Kannamwar Gram branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
36,uri,http://www.wikidata.org/entity/Q70086768,,,,,,,en,literal,Bank Of Maharashtra Raleganshindi branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
37,uri,http://www.wikidata.org/entity/Q70086787,,,,,,,en,literal,Bank Of Maharashtra Bagmandale branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
38,uri,http://www.wikidata.org/entity/Q70086813,,,,,,,en,literal,Bank Of Maharashtra Hisale branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
39,uri,http://www.wikidata.org/entity/Q70086864,,,,,,,en,literal,Bank Of Maharashtra Dhar branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
40,uri,http://www.wikidata.org/entity/Q70085449,,,,,,,en,literal,Bank Of Maharashtra Gimmakhurd branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
41,uri,http://www.wikidata.org/entity/Q70085472,,,,,,,en,literal,Bank Of Maharashtra Goregaon branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
42,uri,http://www.wikidata.org/entity/Q70085444,,,,,,,en,literal,Bank Of Maharashtra Gudihathnur branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
43,uri,http://www.wikidata.org/entity/Q70086697,,,,,,,en,literal,"Bank Of Maharashtra Mayur Colony, Pune branch",en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
44,uri,http://www.wikidata.org/entity/Q70086752,,,,,,,en,literal,Bank Of Maharashtra Mahuli Chor branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
45,uri,http://www.wikidata.org/entity/Q70086806,,,,,,,en,literal,Bank Of Maharashtra Lakhalgaon branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
46,uri,http://www.wikidata.org/entity/Q70086598,,,,,,,en,literal,"Bank Of Maharashtra Sangamwadi, Pune branch",en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
47,uri,http://www.wikidata.org/entity/Q70086619,,,,,,,en,literal,Bank Of Maharashtra Lasurne Branch branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
48,uri,http://www.wikidata.org/entity/Q70086844,,,,,,,en,literal,Bank Of Maharashtra Maka branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
49,uri,http://www.wikidata.org/entity/Q70086847,,,,,,,en,literal,Bank Of Maharashtra Rithpur branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
50,uri,http://www.wikidata.org/entity/Q70086647,,,,,,,en,literal,Bank Of Maharashtra Haji Takli branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
51,uri,http://www.wikidata.org/entity/Q70086650,,,,,,,en,literal,Bank Of Maharashtra Rohinkhed branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
52,uri,http://www.wikidata.org/entity/Q70086664,,,,,,,en,literal,Bank Of Maharashtra Katol branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
53,uri,http://www.wikidata.org/entity/Q70086881,,,,,,,en,literal,"Bank Of Maharashtra Andheri West, Mumbai branch",en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
54,uri,http://www.wikidata.org/entity/Q70086892,,,,,,,en,literal,Bank Of Maharashtra Martala branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
55,uri,http://www.wikidata.org/entity/Q70086905,,,,,,,en,literal,Bank Of Maharashtra Murud Janjira branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
56,uri,http://www.wikidata.org/entity/Q70086756,,,,,,,en,literal,Bank Of Maharashtra Pimplod branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
57,uri,http://www.wikidata.org/entity/Q70086785,,,,,,,en,literal,Bank Of Maharashtra Khadakewada branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
58,uri,http://www.wikidata.org/entity/Q70086862,,,,,,,en,literal,Bank Of Maharashtra Khargone branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
59,uri,http://www.wikidata.org/entity/Q70086860,,,,,,,en,literal,Bank Of Maharashtra Kale Colony branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
60,uri,http://www.wikidata.org/entity/Q70086886,,,,,,,en,literal,Bank Of Maharashtra Umberkhede branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
61,uri,http://www.wikidata.org/entity/Q70086888,,,,,,,en,literal,"Bank Of Maharashtra Preet Vihar, New Delhi branch",en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
62,uri,http://www.wikidata.org/entity/Q70086907,,,,,,,en,literal,Bank Of Maharashtra Mangrulpir branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
63,uri,http://www.wikidata.org/entity/Q70085452,,,,,,,en,literal,Bank Of Maharashtra Mandhal branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
64,uri,http://www.wikidata.org/entity/Q70085456,,,,,,,en,literal,Bank Of Maharashtra Senapati Kapshi branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
65,uri,http://www.wikidata.org/entity/Q70085481,,,,,,,en,literal,Bank Of Maharashtra Abhone branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
66,uri,http://www.wikidata.org/entity/Q70086600,,,,,,,en,literal,Bank Of Maharashtra Veergaon branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
67,uri,http://www.wikidata.org/entity/Q70086629,,,,,,,en,literal,Bank Of Maharashtra Nimgaon (nasik) branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
68,uri,http://www.wikidata.org/entity/Q70086652,,,,,,,en,literal,Bank Of Maharashtra Multai branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
69,uri,http://www.wikidata.org/entity/Q70086674,,,,,,,en,literal,Bank Of Maharashtra Dabhadi branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
70,uri,http://www.wikidata.org/entity/Q70086714,,,,,,,en,literal,Bank Of Maharashtra Turkewadi branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
71,uri,http://www.wikidata.org/entity/Q70086725,,,,,,,en,literal,Bank Of Maharashtra Kelghar branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
72,uri,http://www.wikidata.org/entity/Q70086781,,,,,,,en,literal,Bank Of Maharashtra Bhaur branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
73,uri,http://www.wikidata.org/entity/Q70086826,,,,,,,en,literal,Bank Of Maharashtra Sakra branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
74,uri,http://www.wikidata.org/entity/Q70086830,,,,,,,en,literal,Bank Of Maharashtra Jeen branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
75,uri,http://www.wikidata.org/entity/Q70086902,,,,,,,en,literal,Bank Of Maharashtra Induri branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
76,uri,http://www.wikidata.org/entity/Q70085466,,,,,,,en,literal,Bank Of Maharashtra Kati branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
77,uri,http://www.wikidata.org/entity/Q70086659,,,,,,,en,literal,Bank Of Maharashtra Ugaon branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
78,uri,http://www.wikidata.org/entity/Q70086693,,,,,,,en,literal,Bank Of Maharashtra Jalna Old branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
79,uri,http://www.wikidata.org/entity/Q70086708,,,,,,,en,literal,Bank Of Maharashtra Ghughriakhedi branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
80,uri,http://www.wikidata.org/entity/Q70086723,,,,,,,en,literal,Bank Of Maharashtra Kondhwa Bk branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
81,uri,http://www.wikidata.org/entity/Q70086732,,,,,,,en,literal,Bank Of Maharashtra Chimangaon branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
82,uri,http://www.wikidata.org/entity/Q70086738,,,,,,,en,literal,Bank Of Maharashtra Vevji branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
83,uri,http://www.wikidata.org/entity/Q70086749,,,,,,,en,literal,Bank Of Maharashtra Khed branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
84,uri,http://www.wikidata.org/entity/Q70086852,,,,,,,en,literal,Bank Of Maharashtra Pimpalkothe branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
85,uri,http://www.wikidata.org/entity/Q70086880,,,,,,,en,literal,"Bank Of Maharashtra Dr. Mukherjee Nagar,new Delhi branch",en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
86,uri,http://www.wikidata.org/entity/Q70085458,,,,,,,en,literal,Bank Of Maharashtra Allahabad Main Br. branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
87,uri,http://www.wikidata.org/entity/Q70086604,,,,,,,en,literal,Bank Of Maharashtra Shinganapur branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
88,uri,http://www.wikidata.org/entity/Q70086622,,,,,,,en,literal,Bank Of Maharashtra Sawangi Bazar branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
89,uri,http://www.wikidata.org/entity/Q70086624,,,,,,,en,literal,Bank Of Maharashtra Chincholi Limbaji branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
90,uri,http://www.wikidata.org/entity/Q70086667,,,,,,,en,literal,"Bank Of Maharashtra Ruikar Colony, Kolhapur branch",en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
91,uri,http://www.wikidata.org/entity/Q70086682,,,,,,,en,literal,Bank Of Maharashtra Mera Khurd branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
92,uri,http://www.wikidata.org/entity/Q70086717,,,,,,,en,literal,Bank Of Maharashtra Tarna branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
93,uri,http://www.wikidata.org/entity/Q70086779,,,,,,,en,literal,Bank Of Maharashtra Shelwad branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
94,uri,http://www.wikidata.org/entity/Q70086793,,,,,,,en,literal,Bank Of Maharashtra Achalpur branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
95,uri,http://www.wikidata.org/entity/Q70086798,,,,,,,en,literal,Bank Of Maharashtra Desrane branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
96,uri,http://www.wikidata.org/entity/Q70086824,,,,,,,en,literal,Bank Of Maharashtra Adkur branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
97,uri,http://www.wikidata.org/entity/Q70086856,,,,,,,en,literal,Bank Of Maharashtra Sehore branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
98,uri,http://www.wikidata.org/entity/Q70086867,,,,,,,en,literal,Bank Of Maharashtra Bhadane branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
99,uri,http://www.wikidata.org/entity/Q70086873,,,,,,,en,literal,Bank Of Maharashtra Pimpri Gawali branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
100,uri,http://www.wikidata.org/entity/Q70086884,,,,,,,en,literal,Bank Of Maharashtra Waroor branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
101,uri,http://www.wikidata.org/entity/Q70086895,,,,,,,en,literal,Bank Of Maharashtra Shiroshi branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
102,uri,http://www.wikidata.org/entity/Q70085454,,,,,,,en,literal,Bank Of Maharashtra Sangurul branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
103,uri,http://www.wikidata.org/entity/Q70086632,,,,,,,en,literal,Bank Of Maharashtra Wadegaon branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
104,uri,http://www.wikidata.org/entity/Q70086655,,,,,,,en,literal,Bank Of Maharashtra Ghatbori branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
105,uri,http://www.wikidata.org/entity/Q70086687,,,,,,,en,literal,Bank Of Maharashtra Sadashivnagar branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
106,uri,http://www.wikidata.org/entity/Q70086690,,,,,,,en,literal,Bank Of Maharashtra Narol branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
107,uri,http://www.wikidata.org/entity/Q70086719,,,,,,,en,literal,Bank Of Maharashtra Ghotwade branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
108,uri,http://www.wikidata.org/entity/Q70086747,,,,,,,en,literal,Bank Of Maharashtra Chincholi branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
109,uri,http://www.wikidata.org/entity/Q70086759,,,,,,,en,literal,Bank Of Maharashtra Bhatkuli (asra) branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
110,uri,http://www.wikidata.org/entity/Q70086795,,,,,,,en,literal,Bank Of Maharashtra Masod Tapowan(camp) branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
111,uri,http://www.wikidata.org/entity/Q70086818,,,,,,,en,literal,Bank Of Maharashtra Padalde branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
112,uri,http://www.wikidata.org/entity/Q70086840,,,,,,,en,literal,Bank Of Maharashtra Cbd Belapur branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
113,uri,http://www.wikidata.org/entity/Q70085462,,,,,,,en,literal,Bank Of Maharashtra Belapur branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
114,uri,http://www.wikidata.org/entity/Q70085476,,,,,,,en,literal,Bank Of Maharashtra Bidri branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
115,uri,http://www.wikidata.org/entity/Q70085480,,,,,,,en,literal,Bank Of Maharashtra Moratgi branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
116,uri,http://www.wikidata.org/entity/Q70085484,,,,,,,en,literal,Bank Of Maharashtra Kumbharjua branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
117,uri,http://www.wikidata.org/entity/Q70086607,,,,,,,en,literal,Bank Of Maharashtra Gaudgaon branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
118,uri,http://www.wikidata.org/entity/Q70086643,,,,,,,en,literal,Bank Of Maharashtra Bawanbir branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
119,uri,http://www.wikidata.org/entity/Q70086639,,,,,,,en,literal,Bank Of Maharashtra Sawalmendha branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
120,uri,http://www.wikidata.org/entity/Q70086679,,,,,,,en,literal,"Bank Of Maharashtra Jaripatka, Nagpur branch",en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
121,uri,http://www.wikidata.org/entity/Q70086700,,,,,,,en,literal,"Bank Of Maharashtra Thergaon, Pune branch",en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
122,uri,http://www.wikidata.org/entity/Q70086776,,,,,,,en,literal,Bank Of Maharashtra Wakadi branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
123,uri,http://www.wikidata.org/entity/Q70086791,,,,,,,en,literal,Bank Of Maharashtra Kashele branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
124,uri,http://www.wikidata.org/entity/Q70086811,,,,,,,en,literal,Bank Of Maharashtra Yesgaon branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
125,uri,http://www.wikidata.org/entity/Q70086834,,,,,,,en,literal,Bank Of Maharashtra Sasundra branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
126,uri,http://www.wikidata.org/entity/Q70086876,,,,,,,en,literal,Bank Of Maharashtra Shriwardhan branch,en,literal,Bank in India,en,literal,India,,,,,,,,,,,,,,,,
127,uri,http://www.wikidata.org/entity/Q6764170,uri,http://www.us.hsbc.com,,,literal,149149323,en,literal,Marine Midland Bank,en,literal,"defunct bank based in Buffalo, New York, United States",en,literal,United States of America,,,http://www.w3.org/2001/XMLSchema#integer,literal,1999,,,,,,,,,,,
128,uri,http://www.wikidata.org/entity/Q541461,uri,http://www.angloirishbank.ie/,literal,IE00B06H8J93,literal,169626292,en,literal,Anglo Irish Bank,en,literal,Ireland's largest banking insolvency,en,literal,Republic of Ireland,,,http://www.w3.org/2001/XMLSchema#integer,literal,2011,en,literal,IBRC,,,,,,,,
129,uri,http://www.wikidata.org/entity/Q2882910,,,,,literal,151200963,fr,literal,banque Jacques-Cartier,de,literal,Geschäftsbetrieb in Kanada,en,literal,Canada,literal,/g/122gwn3l,http://www.w3.org/2001/XMLSchema#integer,literal,1899,,,,,,,,,,,
130,uri,http://www.wikidata.org/entity/Q2601306,,,,,literal,158524787,en,literal,Nationale Handelsbank,en,literal,Indonesian bank,en,literal,Kingdom of the Netherlands,,,http://www.w3.org/2001/XMLSchema#integer,literal,1960,en,literal,"NIH, Merchant Bank of the Dutch East Indies, Nederlandsch-Indische Handelsbank, Netherlands India Commercial Bank",,,,,,,,
131,uri,http://www.wikidata.org/entity/Q806703,uri,http://www.bankofcanada.ca/,,,literal,144205742,en,literal,Bank of Canada,en,literal,Canada's central bank,en,literal,Canada,,,,,,fr,literal,"Banque du canada, Banque Du Canada",,,,,,,,
